Searching for directories that have exceeded 5 megabytes
    Size (mb)  Files  Directory
         1.78    140  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\ndiipp\ndiipp_dlf_nov_14_new_2003_files
         0.00      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\nsdl
         1.54    210  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\nsdl\DLF-Fall-03-OCKHAM_files
         0.60    106  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\nsdl\NSDL_DLF111903_files
         0.06      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\olson
!        7.19    499  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\olson\DLF-Fall2003-Olson_files
         0.00      1  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\payette
         2.10    116  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\payette\DLF-fedora-payette_files
         0.28      2  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\sompel
         1.50    467  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2003\sompel\DLF-VandeSompel_files
         4.93     58  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004
!        5.77     83  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\abramsmcgath1004_files
         0.75     54  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\arms1004_files
         1.49     45  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\bollacker1004_files
         1.52     63  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\dale1004_files
         2.50    174  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\devarecorson1004_files
         1.27     80  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\devarecorson1004_files\poznansky-DLF_files
         0.80     55  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\dunncowan1004_files
         1.43     73  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\greenlindenpeterson1004_files
         0.75     48  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\guenther1004_files
         4.77     85  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\johnston1004_files
!        5.25    106  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\llona1004_files
         0.86    127  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\maroso1004_files
         0.99     79  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\nelsonvandesompel1004_files
         2.34    255  C:\INETPUB\VHOSTS\DIGLIB.ORG\HTTPDOCS\forums\fall2004\paskin1004_files
